Carlos Pérez,carlosp,clave123
María López,marial,pass456
Andrés Gómez,andresg,password789
Laura Torres,laurat,admin321
Luis Ramírez,luisr,netpass111
Ana Herrera,anah,clave000
Pedro Mendoza,pedrom,tenis2023
Mónica Ríos,monicar,passmoni
Ricardo Díaz,ricardod,futbol456
Verónica Silva,veros,clavever
José Torres,joset,josetorres1
Sandra Mejía,sandram,sandrapass
Héctor Ruiz,hectorr,hector123
Daniela Soto,danis,password
Raúl Fernández,raulf,raulf123
Valeria Ortega,valeriao,vale789
Julio Acosta,julioa,acostaj1
Patricia Vega,patriciav,vegapass
Fernando Núñez,fernandon,futpass23
Lucía Castro,luciac,castro456
